,title,subtitle,link
52,ZINE LIVES,Nasri reveals Zidane's dream job and why he will snub Prem after Man Utd links,https://www.thesun.co.uk/sport/21377165/man-utd-zinedine-zidane-dream-job-samir-nasri/
53,THEY'RE OFFICIAL,'World's hottest referee' is married to fellow official & wows with snaps,https://www.thesun.co.uk/sport/21378590/worlds-hottest-referee-married-official-wows-fans/
54,PITCH BATTLE,Watch shocking moment fan attacks player on pitch before quickly regretting it,https://www.thesun.co.uk/sport/21368007/shocking-fan-pitch-attacks-colombian-football/
55,AZZ SOME OF THAT,Watch stunned star smash record for fastest goal straight from kick-off,https://www.thesun.co.uk/sport/21380955/watch-italian-football-history-fastest-goal-kick-off/
56,SNOW JOKE,Injured Pogba blasted by Juventus legend for ‘skiing while club have problems',https://www.thesun.co.uk/sport/21366984/paul-pogba-blasted-juventus-skiing-injury-marco-tardelli/
57,CARRY ON CARRA,Carragher trolls Pep & says Man City boss must have watched Sky Sports rant,https://www.thesun.co.uk/sport/21363156/man-city-erling-haaland-aston-villa-pep-guardiola-carragher/
58,JUR REAL DEAL,Real Madrid 'want Klopp as next boss' and hope Bellingham deal will seal move,https://www.thesun.co.uk/sport/21358797/real-madrid-liverpool-jurgen-klopp-carlo-ancelotti-bellingham-transfer/
59,RODRI-BLOW,Tottenham dealt huge blow with Bentancur set to miss SIX MONTHS with ACL tear,https://www.thesun.co.uk/sport/21360129/tottenham-rodrigo-bentancur-acl-tear/
60,'JUST BAD',Watch Pickford go to a 'different postcode' in huge blunder to gift Salah goal,https://www.thesun.co.uk/sport/21375827/everton-keeper-jordan-pickford-mo-salah-liverpool/
61,FOOTBALL D-DAY,Neville says Prem will look 'incompetent’ if Man City cleared of FFP charges,https://www.thesun.co.uk/sport/21362081/neville-man-city-ffp-premier-league/
62,SCHREUD MOVE,Ten Hag's axed Ajax successor Schreuder OUT of Leeds running after Utd trip,https://www.thesun.co.uk/sport/21373460/leeds-alfred-schreuder-man-utd-erik-ten-hag/
63,KLOPP OF THE STROPS,Klopp blasts 'have the balls to go for me' in rant at reporters,https://www.thesun.co.uk/sport/21367808/liverpool-jurgen-klopp/
64,STAT ATTACK,Supercomputer reveals Arsenal & City couldn’t be closer in epic Prem title race,https://www.thesun.co.uk/sport/21368473/supercomputer-arsenal-man-city-opta-predictions-title/
65,ANFIELD SCRAP,Stewards forced to step in as Robertson and Pickford spark mass Mersey brawl,https://www.thesun.co.uk/sport/21376473/liverpool-everton-brawl-players/
66,STEP BROTHERS,Fans loving bizarre bromance between Man Utd legend Roy Keane & Will Ferrell,https://www.thesun.co.uk/sport/21360897/man-utd-roy-keane-will-ferrell-bromance/
67,'DISGUSTED AND SADDENED',Brentford condemn racist abuse aimed at Toney after Arsenal goal,https://www.thesun.co.uk/sport/21359824/brentford-condemn-racist-abuse-aimed-toney-arsenal-goal/
68,SAN-SATIONAL,Chelsea new-boy Andrey Santos scores winner as Brazil U20s clinch Championship,https://www.thesun.co.uk/sport/21371165/chelsea-andrey-santos-winner-brazil-u20s-six/
69,ON YOUR MARCS,Ten Hag sets Rashford goal target for season after forward's stunning form,https://www.thesun.co.uk/sport/21358912/ten-hag-sets-rashford-man-utd-goal-target/
70,MADHOUSE,Mbappe wants Real Madrid move again and can leave PSG for FREE in 2024,https://www.thesun.co.uk/sport/21344587/kylian-mbappe-psg-real-madrid-transfer/
71,ON YOUR MARC,Sabitzer reveals transfer plans with star to decide between Man Utd and Bayern,https://www.thesun.co.uk/sport/21370992/sabitzer-transfer-man-utd-bayern-munich/
72,DEN-SATIONAL,Man Utd in Dumfries transfer boost as Inter Milan line up replacement,https://www.thesun.co.uk/sport/21358355/man-utd-denzel-dumfries-transfer-inter-milan/
73,TOP PICK,Dyche demands new Pickford deal as Everton look to stave off Man Utd interest,https://www.thesun.co.uk/sport/21355655/jordan-pickford-everton-contract-dyche-man-utd-transfer/
74,JO AWAY,Chelsea transfer blow as ‘Real Madrid keep tabs on Felix for summer transfer',https://www.thesun.co.uk/sport/21362843/chelsea-transfer-felix-real-madrid-tabs/
75,RED DEVILS LIVE,"Qatari bid THIS WEEK, takeover LATEST, £107m Victor Osimhen transfer BATTLE",https://www.thesun.co.uk/sport/21284701/man-utd-news-live-takeover-qatar-latest-victor-osimhen/
76,GUNNERS LIVE,"Vitor Roque 'talks opened', Man City LATEST build-up, VAR fallout updates",https://www.thesun.co.uk/sport/21158908/arsenal-transfer-news-live-vitor-roque-man-city/
77,FAT CHANCE,Arsenal join transfer race for Fati with Man Utd 'informed' on Barcelona status,https://www.thesun.co.uk/sport/21339600/arsenal-fati-transfer-man-utd-liverpool/
78,PROMOTION,Best football betting sites in the UK: Top online bookies for February 2023,https://www.thesun.co.uk/betting/20574123/best-football-betting-sites/
79,BETTING TIPS,Best live casinos in the UK: Top 10 sites for 2023,https://www.thesun.co.uk/betting/20833219/live-casinos/
80,REVIEW,Best online casinos in the UK: Top 15 casino sites for February 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
81,‘I LOVE YOU GUYS’,Georgina Rodriguez shares sweet snap of Ronaldo & youngest daughter Bella,https://www.thesun.co.uk/sport/21361355/cristiano-ronaldo-georgina-rodriguez-daughter-esmeralda/
82,RON TIME,Ronaldo shows off CRAZY expensive gold Rolex set with rare rubies and sapphires,https://www.thesun.co.uk/sport/21373992/cristiano-ronaldo-rolex-man-utd-al-nassr/
83,NEW DAWN,EFL set for streaming revolution with more games and end of Sky Sports monopoly,https://www.thesun.co.uk/sport/21356050/efl-streaming-viaplay-sky-sports-coverage/
84,'IT'S PAINFUL',Evra breaks silence after conviction for posting homophobic abuse online,https://www.thesun.co.uk/sport/21369264/man-utd-evra-breaks-silence-conviction-homophobic-abuse/
85,FRANCIS AGONY,Ex-Arsenal star Coquelin carried off in tears after horror knee injury,https://www.thesun.co.uk/sport/21363768/francis-coquelin-villarreal-barcelona-injury-arsenal/
86,TIM VICKERY,"Club World Cup is failing, as European giants like Real Madrid have dominated",https://www.thesun.co.uk/sport/21366089/club-world-cup-europe-south-america/
87,PHIL THOMAS,City's jealous rivals can only wish they had owners as loved as Sheikh Mansour,https://www.thesun.co.uk/sport/21356532/man-city-owners-loved-jealous-rivals-pipe-down/
88,KARREN BRADY,Man City charges will take time - but if guilty the outcry will be deafening,https://www.thesun.co.uk/sport/21349153/karren-brady-man-city-charges-guardiola/
89,NOT A FAN,World's sexiest fan Ivana Knoll snubs OnlyFans and reveals why she rejected site,https://www.thesun.co.uk/sport/21359161/world-cup-hottest-fan-ivana-knoll-reject-onlyfans/
90,SILVA WEDDING,Man City star Bernardo Silva set to marry stunning fiancee Ines in July,https://www.thesun.co.uk/sport/21329360/man-city-bernardo-silva-ines-wedding/
91,CLAUD NINE,World's sexiest ref strips down to tiny bikini for photo shoot on the beach,https://www.thesun.co.uk/sport/21307565/worlds-sexiest-ref-bikini-beach-pictured/
